CustomerID,Mean Days btw Purchases,Min Days btw Purchases,Max Days btw Purchases,Max Products In Basket,Min Products In Basket,Mean Products In Basket,Money Spent Entropy,Mean Qta Q1,Mean Money Spent Q1,Mean Qta Q2,Mean Money Spent Q2,Mean Qta Q3,Mean Money Spent Q3,Distinct Products,Distinct Baskets,Total Products
12347,167.83333000000002,64,265,26,4,14.142857142857142,4.518600555572191,7.294117647058822,13.050588235294118,9.0,14.376153846153846,8.923076923076922,13.043076923076926,66,7,916
12349,697.0,697,697,35,35,35.0,3.5355977262904874,0.0,0.0,0.0,0.0,8.8,14.474666666666666,35,1,328
12350,697.0,697,697,15,15,15.0,2.6645368767942714,11.714285714285715,13.728571428571426,0.0,0.0,0.0,0.0,15,1,172
12352,85.5,5,201,8,1,5.428571428571429,3.622310212949592,10.416666666666666,14.894166666666665,0.0,0.0,8.25,15.5125,31,7,365
12353,697.0,697,697,2,2,2.0,0.6730116670092565,0.0,0.0,7.0,14.650000000000002,0.0,0.0,2,1,14
12354,697.0,697,697,25,25,25.0,3.1701666639046704,8.866666666666667,12.763333333333332,0.0,0.0,0.0,0.0,25,1,221
12355,697.0,697,697,4,4,4.0,1.3852175202653494,0.0,0.0,0.0,0.0,0.0,0.0,4,1,30
12356,198.0,198,198,10,2,6.0,2.3122106641423685,12.0,17.4,7.0,10.51,0.0,0.0,12,2,105
12357,697.0,697,697,41,41,41.0,3.6396776440626817,0.0,0.0,10.363636363636363,15.02727272727273,0.0,0.0,41,1,458
12358,697.0,697,697,5,5,5.0,1.6055598826592756,0.0,0.0,0.0,0.0,8.0,15.0,5,1,46
12359,163.66666999999998,118,221,39,7,23.5,4.510810232781184,9.714285714285714,13.914285714285715,8.117647058823529,14.594117647058821,7.8,14.682,81,4,846
12360,74.0,60,88,34,23,29.33333333333333,4.409353972425066,0.0,0.0,7.804878048780488,12.502439024390245,8.545454545454545,12.507272727272728,70,3,768
12361,697.0,697,697,9,9,9.0,2.185653511711868,10.0,16.5,0.0,0.0,0.0,0.0,9,1,90
12362,69.666664,2,200,25,9,16.4,5.047576404881712,8.529411764705884,14.661764705882357,8.4,14.1,7.8,14.567333333333336,120,10,1481
12363,74.0,74,74,3,3,3.0,1.7635490353663539,0.0,0.0,12.0,17.4,12.0,17.4,6,2,72
12364,166.0,72,260,12,8,9.666666666666666,3.310551982926541,12.0,11.4,9.833333333333334,12.208333333333336,12.0,10.920000000000002,21,3,329
12365,697.0,697,697,16,16,16.0,2.7615128009662047,11.2,14.720000000000002,0.0,0.0,0.0,0.0,16,1,148
12367,697.0,697,697,6,6,6.0,1.7450853105527564,0.0,0.0,8.0,12.4,0.0,0.0,6,1,60
12370,103.0,3,290,35,5,22.75,4.3888928847961255,0.0,0.0,0.0,0.0,8.016666666666667,12.388333333333335,81,4,740
12371,697.0,697,697,33,33,33.0,3.4362450437774736,0.0,0.0,0.0,0.0,9.833333333333334,13.08333333333333,33,1,320
12372,149.5,37,262,12,3,7.333333333333332,3.0623980912666564,7.0,14.25,0.0,0.0,5.0,13.35,16,3,212
12373,697.0,697,697,7,7,7.0,1.877854982173357,10.0,8.5,0.0,0.0,0.0,0.0,7,1,66
12374,697.0,697,697,14,14,14.0,2.5760970241443197,0.0,0.0,0.0,0.0,9.1,15.045000000000002,14,1,133
12375,293.0,293,293,7,2,4.5,2.1205257997398066,10.0,8.5,0.0,0.0,0.0,0.0,8,2,90
12377,39.0,39,39,23,22,22.5,3.724232279642834,8.666666666666666,12.125,0.0,0.0,4.0,15.0,45,2,396
12378,697.0,697,697,123,123,123.0,4.765006443062098,9.10843373493976,14.095903614457832,0.0,0.0,0.0,0.0,123,1,1120
12379,89.0,89,89,19,13,16.0,3.4081851322289296,0.0,0.0,7.6,13.664,9.6,15.31,32,2,302
12380,45.0,22,78,30,6,15.0,4.056954258213086,0.0,0.0,8.608695652173912,13.45,8.76923076923077,15.903076923076926,48,4,552
