CustomerID,Mean Days btw Purchases,Min Days btw Purchases,Max Days btw Purchases
12347,167.83333,64,265
12349,697.0,697,697
12350,697.0,697,697
12352,85.5,5,201
12353,697.0,697,697
12354,697.0,697,697
12355,697.0,697,697
12356,198.0,198,198
12357,697.0,697,697
12358,697.0,697,697
12359,163.66667,118,221
12360,74.0,60,88
12361,697.0,697,697
12362,69.666664,2,200
12363,74.0,74,74
12364,166.0,72,260
12365,697.0,697,697
12367,697.0,697,697
12370,103.0,3,290
12371,697.0,697,697
12372,149.5,37,262
12373,697.0,697,697
12374,697.0,697,697
12375,293.0,293,293
12377,39.0,39,39
12378,697.0,697,697
12379,89.0,89,89
12380,45.0,22,78
12381,105.0,30,180
12383,187.75,32,344
12384,34.0,34,34
12386,697.0,697,697
12388,82.6,51,166
12390,697.0,697,697
12391,697.0,697,697
12393,182.66667,55,291
12394,697.0,697,697
12395,164.4,43,320
12397,107.0,107,107
12398,697.0,697,697
12399,106.0,29,196
12401,697.0,697,697
12402,697.0,697,697
12405,697.0,697,697
12406,72.0,72,72
12407,71.666664,29,136
12408,121.666664,85,152
12409,697.0,697,697
12410,697.0,697,697
12412,47.5,32,63
12413,26.0,7,45
12414,123.0,123,123
12415,82.5,34,120
12417,64.375,8,141
12418,697.0,697,697
12420,697.0,697,697
12421,101.333336,59,146
12422,101.0,46,156
12423,89.0,12,237
12424,697.0,697,697
12425,697.0,697,697
12426,697.0,697,697
12427,308.0,39,577
12428,135.4,6,229
12429,148.0,55,226
12430,697.0,697,697
12431,126.36364,5,339
12432,130.0,130,130
12433,153.2,34,393
12434,176.0,176,176
12436,697.0,697,697
12437,86.38461,7,252
12438,126.0,126,126
12441,697.0,697,697
12442,697.0,697,697
12444,60.0,22,109
12445,697.0,697,697
12446,697.0,697,697
12447,697.0,697,697
12448,697.0,697,697
12449,123.0,69,213
12450,697.0,697,697
12451,78.5,5,192
12452,697.0,697,697
12453,697.0,697,697
12455,85.75,18,172
12456,105.0,87,123
12457,153.0,153,153
12458,213.0,213,213
12461,697.0,697,697
12462,80.0,80,80
12463,118.0,31,201
12464,45.666668,2,84
12465,152.0,152,152
12468,99.0,99,99
12471,53.166668,2,251
12472,104.166664,41,259
12473,142.0,61,223
12474,68.71429,3,274
12475,697.0,697,697
12476,42.42857,10,93
12477,104.6,34,202
12478,697.0,697,697
12479,697.0,697,697
12480,115.0,106,124
12481,114.833336,25,292
12483,130.6,23,263
12484,75.666664,15,139
12488,33.0,30,36
12489,697.0,697,697
12490,121.333336,8,276
12491,697.0,697,697
12492,47.0,47,47
12493,32.0,32,32
12494,119.666664,25,296
12498,36.0,36,36
12500,68.5,14,133
12501,697.0,697,697
12502,46.0,14,81
12507,697.0,697,697
12508,33.0,33,33
12509,697.0,697,697
12510,697.0,697,697
12512,697.0,697,697
12513,697.0,697,697
12514,697.0,697,697
12515,697.0,697,697
12516,697.0,697,697
12517,92.666664,45,142
12518,50.0,29,78
12519,697.0,697,697
12520,100.75,55,223
12521,697.0,697,697
12522,12.0,12,12
12523,90.3,3,283
12524,88.28571,10,222
12526,82.5,35,130
12527,122.0,31,213
12528,84.2,21,184
12530,92.0,72,110
12531,697.0,697,697
12532,697.0,697,697
12534,697.0,697,697
12535,95.0,95,95
12536,697.0,697,697
12538,697.0,697,697
12539,180.33333,54,247
12540,79.0,4,323
12541,95.5,77,114
12544,697.0,697,697
12545,184.0,184,184
12546,31.0,31,31
12547,697.0,697,697
12548,697.0,697,697
12550,697.0,697,697
12551,697.0,697,697
12552,697.0,697,697
12553,85.0,9,306
12556,18.0,18,18
12558,697.0,697,697
12559,697.0,697,697
12560,98.0,98,98
12561,697.0,697,697
12562,93.833336,22,309
12564,697.0,697,697
12565,697.0,697,697
12566,697.0,697,697
12567,116.75,50,264
12569,96.052635,1,315
12571,23.0,23,23
12572,280.0,280,280
12573,697.0,697,697
12574,697.0,697,697
12576,62.75,28,89
12577,117.0,117,117
12578,309.0,309,309
12579,697.0,697,697
12580,697.0,697,697
12581,697.0,697,697
12582,50.0,50,50
12583,122.57143,9,535
12584,66.0,17,163
12585,117.0,117,117
12586,697.0,697,697
12587,697.0,697,697
12588,697.0,697,697
12589,116.0,116,116
12591,697.0,697,697
12592,57.0,57,57
12593,141.0,86,196
12594,46.0,16,130
12596,16.0,16,16
12597,83.0,21,174
12598,64.833336,5,265
12599,124.666664,44,183
12600,41.125,18,75
12601,84.5,30,185
12602,697.0,697,697
12604,182.0,182,182
12607,697.0,697,697
12609,120.0,108,132
12610,64.333336,23,109
12611,697.0,697,697
12612,697.0,697,697
12613,102.5,65,140
12614,697.0,697,697
12615,140.66667,97,202
12616,83.0,83,83
12617,697.0,697,697
12618,697.0,697,697
12619,71.0,10,165
12620,95.0,66,124
12621,61.2,7,196
12622,697.0,697,697
12623,697.0,697,697
12624,71.0,71,71
12625,315.0,315,315
12626,81.375,10,154
12627,145.6,62,195
12628,15.5,1,30
12630,34.0,34,34
12631,697.0,697,697
12633,168.0,91,305
12635,94.0,94,94
12637,69.166664,23,183
12638,697.0,697,697
12639,697.0,697,697
12640,57.0,57,57
12641,697.0,697,697
12642,41.0,25,57
12643,697.0,697,697
12644,697.0,697,697
12645,93.0,68,139
12646,162.0,162,162
12647,101.25,44,185
12648,697.0,697,697
12649,73.0,73,73
12650,697.0,697,697
12651,697.0,697,697
12652,697.0,697,697
12653,148.0,148,148
12654,164.33333,98,291
12656,72.0,44,117
12657,67.0,67,67
12658,697.0,697,697
12659,697.0,697,697
12660,697.0,697,697
12662,106.666664,22,414
12664,117.5,56,179
12665,697.0,697,697
12667,697.0,697,697
12668,114.666664,43,248
12669,254.0,254,254
12670,107.5,33,244
12672,697.0,697,697
12673,85.0,85,85
12674,119.0,37,241
12676,81.8,46,183
12678,77.75,31,175
12679,697.0,697,697
12680,47.0,15,83
12681,64.789474,2,255
12682,88.44,3,273
12683,90.4,14,275
12684,116.2,18,276
12685,25.0,6,47
12686,697.0,697,697
12688,697.0,697,697
12689,220.0,220,220
12690,697.0,697,697
12691,119.333336,38,174
12693,157.5,55,260
12694,24.0,24,24
12695,119.5,103,136
12697,70.5,38,103
12700,58.0,28,87
12701,44.0,44,44
12702,697.0,697,697
12703,697.0,697,697
12704,150.83333,27,278
12705,82.85714,2,230
12707,697.0,697,697
12708,87.77778,21,216
12709,101.3,13,173
12710,113.5,92,135
12712,150.81818,1,445
12713,697.0,697,697
12714,71.25,27,97
12715,697.0,697,697
12716,47.0,47,47
12717,95.0,95,95
12718,697.0,697,697
12719,28.0,28,28
12720,122.210526,8,274
12721,87.2,15,256
12722,112.0,112,112
12723,197.0,197,197
12724,129.0,92,160
12725,697.0,697,697
12726,64.833336,30,169
12727,77.5,15,207
12728,153.0,27,246
12729,697.0,697,697
12731,85.25,19,219
12732,697.0,697,697
12733,697.0,697,697
12735,124.0,124,124
12738,697.0,697,697
12739,697.0,697,697
12740,697.0,697,697
12743,697.0,697,697
12744,87.333336,75,99
12747,98.4,17,221
12748,50.238094,1,321
12749,247.0,158,313
12750,697.0,697,697
12752,697.0,697,697
12753,87.0,84,90
12757,74.6,13,154
12758,12.0,12,12
12759,96.5,74,119
12762,275.0,275,275
12763,697.0,697,697
12764,697.0,697,697
12766,155.66667,51,385
12769,697.0,697,697
12772,697.0,697,697
12775,118.5,59,261
12778,81.8,11,165
12779,96.333336,18,311
12781,132.0,132,132
12782,67.5,40,104
12783,38.333332,1,95
12784,697.0,697,697
12785,697.0,697,697
12787,183.0,183,183
12790,697.0,697,697
12792,697.0,697,697
12793,538.0,538,538
12794,250.0,250,250
12795,697.0,697,697
12797,697.0,697,697
12802,697.0,697,697
12808,284.0,148,420
12809,697.0,697,697
12811,23.0,23,23
12812,697.0,697,697
12815,51.0,51,51
12816,38.0,38,38
12818,697.0,697,697
12820,139.33333,30,252
12821,697.0,697,697
12822,17.0,17,17
12824,697.0,697,697
12826,80.833336,8,138
12827,98.5,90,107
12828,140.25,87,223
12829,697.0,697,697
12831,697.0,697,697
12832,152.0,152,152
12833,697.0,697,697
12834,697.0,697,697
12836,104.0,93,111
12837,697.0,697,697
12838,515.0,515,515
12839,69.61539,9,158
12840,80.333336,31,131
12841,135.30435,8,385
12842,181.0,181,181
12843,111.0,9,214
12844,276.0,276,276
12847,697.0,697,697
12849,148.0,148,148
12851,697.0,697,697
12852,697.0,697,697
12853,90.5,76,105
12854,193.0,73,313
12855,697.0,697,697
12856,83.2,10,282
12857,142.0,142,142
12863,697.0,697,697
12864,697.0,697,697
12865,97.0,97,97
12866,697.0,697,697
12867,105.333336,35,218
12868,231.2,48,688
12871,123.0,123,123
12872,127.0,127,127
12876,139.0,139,139
12877,65.4,18,156
12878,30.0,30,30
12879,697.0,697,697
12881,697.0,697,697
12883,6.0,6,6
12884,697.0,697,697
12885,29.0,29,29
12886,26.0,26,26
12888,697.0,697,697
12890,697.0,697,697
12893,697.0,697,697
12895,44.0,44,44
12901,82.5,6,193
12902,697.0,697,697
12904,154.0,154,154
12906,697.0,697,697
12909,71.333336,48,114
12910,112.0,56,159
12912,697.0,697,697
12913,358.0,272,508
12915,517.0,517,517
12916,60.666668,56,63
12919,176.0,104,315
12920,697.0,697,697
12921,95.5,1,262
12922,697.0,697,697
12923,697.0,697,697
12924,149.5,101,198
12925,137.0,137,137
12928,198.75,102,354
12929,697.0,697,697
12930,93.0,93,93
12931,697.0,697,697
12933,158.0,147,169
12935,83.4,40,124
12936,61.0,61,61
12937,84.0,56,126
12938,697.0,697,697
12940,33.0,33,33
12942,161.0,66,256
12944,112.0,112,112
12945,697.0,697,697
12947,199.25,49,535
12948,49.666668,4,165
12949,127.0,25,221
12951,63.0,11,158
12952,116.5,35,198
12953,697.0,697,697
12955,106.5,19,285
12956,697.0,697,697
12957,41.833332,4,115
12962,187.0,187,187
12963,127.333336,6,369
12965,697.0,697,697
12966,697.0,697,697
12967,697.0,697,697
12968,697.0,697,697
12970,697.0,697,697
12971,89.04256,1,314
12974,697.0,697,697
12976,697.0,697,697
12981,74.0,74,74
12982,697.0,697,697
12984,697.0,697,697
12985,60.0,60,60
12987,124.0,124,124
12988,697.0,697,697
12989,57.25,16,98
12990,190.0,190,190
12991,89.0,89,89
12993,91.666664,8,176
12994,208.5,180,237
12997,113.0,22,236
12999,78.0,78,78
13000,164.0,164,164
13001,85.90909,9,224
13002,697.0,697,697
13003,697.0,697,697
13004,87.86667,1,288
13005,15.0,15,15
13008,697.0,697,697
13011,697.0,697,697
13012,47.5,2,100
