CustomerID,Max Products In Basket,Min Products In Basket,Mean Products In Basket
12347,26,4,14.142857142857142
12349,35,35,35.0
12350,15,15,15.0
12352,8,1,5.428571428571429
12353,2,2,2.0
12354,25,25,25.0
12355,4,4,4.0
12356,10,2,6.0
12357,41,41,41.0
12358,5,5,5.0
12359,39,7,23.5
12360,34,23,29.333333333333332
12361,9,9,9.0
12362,25,9,16.4
12363,3,3,3.0
12364,12,8,9.666666666666666
12365,16,16,16.0
12367,6,6,6.0
12370,35,5,22.75
12371,33,33,33.0
12372,12,3,7.333333333333333
12373,7,7,7.0
12374,14,14,14.0
12375,7,2,4.5
12377,23,22,22.5
12378,123,123,123.0
12379,19,13,16.0
12380,30,6,15.0
12381,36,1,15.666666666666666
12383,20,1,8.4
12384,6,5,5.5
12386,3,3,3.0
12388,17,1,7.666666666666667
12390,11,11,11.0
12391,22,22,22.0
12393,15,2,10.25
12394,15,15,15.0
12395,12,2,6.833333333333333
12397,38,26,32.0
12398,34,34,34.0
12399,11,1,5.5
12401,1,1,1.0
12402,10,10,10.0
12405,22,22,22.0
12406,27,19,23.0
12407,9,4,6.25
12408,26,3,13.0
12409,2,2,2.0
12410,10,10,10.0
12412,12,2,5.666666666666667
12413,12,2,7.333333333333333
12414,3,2,2.5
12415,3,1,1.6
12417,14,4,7.888888888888889
12418,9,9,9.0
12420,10,10,10.0
12421,8,2,5.25
12422,14,8,11.0
12423,14,2,9.25
12424,8,8,8.0
12425,20,20,20.0
12426,20,20,20.0
12427,9,2,6.0
12428,56,3,17.428571428571427
12429,14,7,10.5
12430,5,5,5.0
12431,24,2,8.692307692307692
12432,22,6,14.0
12433,27,1,16.0
12434,11,5,8.0
12436,4,4,4.0
12437,21,1,4.882352941176471
12438,26,22,24.0
12441,6,6,6.0
12442,4,4,4.0
12444,44,1,16.0
12445,1,1,1.0
12446,33,33,33.0
12447,19,19,19.0
12448,12,12,12.0
12449,36,20,28.5
12450,5,5,5.0
12451,41,5,27.2
12452,12,12,12.0
12453,25,25,25.0
12455,11,4,7.8
12456,21,19,20.0
12457,16,12,14.0
12458,14,4,9.0
12461,21,21,21.0
12462,24,10,17.0
12463,15,11,13.0
12464,1,1,1.0
12465,17,15,16.0
12468,16,6,11.0
12471,17,1,7.0
12472,50,6,30.0
12473,53,19,30.333333333333332
12474,30,1,16.1875
12475,18,18,18.0
12476,22,2,10.222222222222221
12477,37,6,20.0
12478,16,16,16.0
12479,12,12,12.0
12480,34,20,25.5
12481,18,4,9.333333333333334
12483,9,1,4.5
12484,65,24,47.25
12488,16,3,9.666666666666666
12489,7,7,7.0
12490,32,5,15.6
12491,14,14,14.0
12492,6,5,5.5
12493,8,8,8.0
12494,15,1,6.142857142857143
12498,7,1,4.666666666666667
12500,5,2,2.6
12501,78,78,78.0
12502,15,6,11.8
12507,6,6,6.0
12508,27,12,19.5
12509,3,3,3.0
12510,21,21,21.0
12512,3,1,2.0
12513,20,20,20.0
12514,36,36,36.0
12515,5,5,5.0
12516,2,2,2.0
12517,83,17,45.25
12518,19,8,13.0
12519,13,13,13.0
12520,32,7,16.0
12521,29,29,29.0
12522,3,1,2.0
12523,7,3,4.454545454545454
12524,15,1,6.375
12526,23,6,16.0
12527,6,1,2.6666666666666665
12528,15,3,6.833333333333333
12530,10,3,7.75
12531,13,13,13.0
12532,12,12,12.0
12534,38,38,38.0
12535,7,6,6.5
12536,145,145,145.0
12538,8,8,8.0
12539,50,25,39.0
12540,28,4,12.352941176470589
12541,12,4,7.333333333333333
12544,15,15,15.0
12545,25,5,15.0
12546,33,19,26.0
12547,1,1,1.0
12548,4,4,4.0
12550,26,26,26.0
12551,10,10,10.0
12552,5,5,5.0
12553,28,3,13.444444444444445
12556,25,25,25.0
12558,2,2,2.0
12559,10,10,10.0
12560,48,15,31.5
12561,8,8,8.0
12562,23,12,17.0
12564,10,10,10.0
12565,7,7,7.0
12566,4,4,4.0
12567,51,7,26.6
12569,7,1,3.608695652173913
12571,9,7,8.0
12572,13,10,11.5
12573,11,11,11.0
12574,7,7,7.0
12576,18,8,12.4
12577,30,6,16.666666666666668
12578,50,30,40.0
12579,19,19,19.0
12580,20,20,20.0
12581,10,10,10.0
12582,6,5,5.5
12583,12,1,6.133333333333334
12584,4,1,2.4285714285714284
12585,32,4,18.0
12586,4,4,4.0
12587,1,1,1.0
12588,3,3,3.0
12589,13,4,8.5
12591,18,18,18.0
12592,4,2,3.0
12593,9,5,6.333333333333333
12594,15,3,9.428571428571429
12596,8,1,4.5
12597,63,7,24.5
12598,17,4,7.714285714285714
12599,6,1,4.0
12600,4,1,2.5555555555555554
12601,7,1,3.4
12602,5,5,5.0
12604,4,3,3.5
12607,52,52,52.0
12609,14,6,10.0
12610,26,2,13.25
12611,39,39,39.0
12612,3,3,3.0
12613,45,2,23.25
12614,6,6,6.0
12615,19,8,13.0
12616,16,8,12.0
12617,27,27,27.0
12618,3,3,3.0
12619,6,2,3.4285714285714284
12620,18,14,15.333333333333334
12621,31,4,14.222222222222221
12622,7,7,7.0
12623,13,13,13.0
12624,11,4,7.5
12625,15,5,10.0
12626,37,4,19.11111111111111
12627,32,17,23.0
12628,8,3,6.0
12630,24,16,20.0
12631,16,16,16.0
12633,23,9,16.0
12635,29,27,28.0
12637,51,20,35.0
12638,14,14,14.0
12639,14,14,14.0
12640,24,1,12.5
12641,5,5,5.0
12642,12,2,6.666666666666667
12643,1,1,1.0
12644,11,11,11.0
12645,15,5,10.5
12646,7,4,5.5
12647,11,1,5.111111111111111
12648,13,13,13.0
12649,11,1,5.0
12650,6,6,6.0
12651,5,5,5.0
12652,33,33,33.0
12653,8,4,6.0
12654,10,3,5.6
12656,17,6,11.0
12657,11,3,5.666666666666667
12658,15,15,15.0
12659,2,2,2.0
12660,9,9,9.0
12662,22,5,14.454545454545455
12664,2,1,1.3333333333333333
12665,1,1,1.0
12667,14,14,14.0
12668,34,11,24.75
12669,46,22,34.0
12670,16,3,9.6
12672,6,6,6.0
12673,12,11,11.5
12674,10,5,8.25
12676,6,1,2.8333333333333335
12678,5,1,2.6
12679,29,29,29.0
12680,11,5,8.5
12681,28,5,16.714285714285715
12682,27,2,10.0
12683,29,2,13.538461538461538
12684,16,2,7.166666666666667
12685,42,5,17.0
12686,3,3,3.0
12688,52,52,52.0
12689,28,27,27.5
12690,8,8,8.0
12691,6,2,4.25
12693,6,5,5.333333333333333
12694,6,5,5.5
12695,3,1,2.0
12697,13,1,6.333333333333333
12700,52,33,40.5
12701,11,8,9.5
12702,3,3,3.0
12703,19,19,19.0
12704,11,1,6.285714285714286
12705,35,8,23.125
12707,22,22,22.0
12708,15,1,10.0
12709,13,1,4.7272727272727275
12710,31,2,14.0
12712,6,1,3.25
12713,19,19,19.0
12714,34,18,27.2
12715,18,18,18.0
12716,27,15,21.0
12717,24,13,18.5
12718,8,8,8.0
12719,10,9,9.5
12720,21,1,7.956521739130435
12721,19,7,13.0
12722,15,9,12.0
12723,15,2,8.333333333333334
12724,12,5,8.0
12725,11,11,11.0
12726,15,1,5.428571428571429
12727,22,4,11.2
12728,8,3,6.0
12729,14,14,14.0
12731,11,1,5.111111111111111
12732,7,7,7.0
12733,13,13,13.0
12735,9,8,8.5
12738,4,4,4.0
12739,14,14,14.0
12740,13,13,13.0
12743,11,5,8.0
12744,22,8,14.25
12747,7,1,3.6363636363636362
12748,61,1,8.80281690140845
12749,34,8,21.0
12750,5,5,5.0
12752,1,1,1.0
12753,1,1,1.0
12757,82,1,26.428571428571427
12758,24,6,15.0
12759,21,17,18.666666666666668
12762,22,11,16.5
12763,7,7,7.0
12764,21,21,21.0
12766,37,7,23.428571428571427
12769,10,10,10.0
12772,26,26,26.0
12775,6,1,4.0
12778,4,1,2.6666666666666665
12779,25,1,8.285714285714286
12781,2,1,1.5
12782,19,9,12.8
12783,15,8,10.75
12784,27,27,27.0
12785,11,11,11.0
12787,6,2,4.0
12790,9,9,9.0
12792,21,21,21.0
12793,10,5,7.5
12794,14,11,12.5
12795,6,6,6.0
12797,7,7,7.0
12802,9,9,9.0
12808,8,4,6.0
12809,12,12,12.0
12811,13,13,13.0
12812,9,9,9.0
12815,18,4,11.0
12816,7,4,5.5
12818,5,5,5.0
12820,12,7,9.0
12821,4,4,4.0
12822,24,4,14.0
12824,13,13,13.0
12826,19,6,9.285714285714286
12827,8,2,4.333333333333333
12828,8,2,6.0
12829,1,1,1.0
12831,5,5,5.0
12832,10,7,8.5
12833,8,8,8.0
12834,7,7,7.0
12836,28,4,16.25
12837,4,4,4.0
12838,39,18,28.5
12839,20,8,16.0
12840,40,3,16.25
12841,16,1,7.32
12842,9,2,5.5
12843,13,3,8.2
12844,12,7,9.5
12847,21,21,21.0
12849,14,3,8.5
12851,10,10,10.0
12852,10,10,10.0
12853,19,2,8.2
12854,26,18,23.0
12855,3,3,3.0
12856,54,21,34.166666666666664
12857,22,4,13.0
12863,1,1,1.0
12864,1,1,1.0
12865,34,16,25.0
12866,14,14,14.0
12867,54,26,39.0
12868,16,5,10.666666666666666
12871,4,2,3.0
12872,25,20,22.5
12876,22,9,15.5
12877,13,1,6.090909090909091
12878,17,17,17.0
12879,2,2,2.0
12881,1,1,1.0
12883,6,1,2.75
12884,3,3,3.0
12885,23,18,20.5
12886,24,18,21.0
12888,1,1,1.0
12890,28,28,28.0
12893,12,12,12.0
12895,8,6,7.0
12901,5,1,2.4285714285714284
12902,5,5,5.0
12904,13,11,12.0
12906,10,7,8.5
12909,11,1,7.8
12910,10,1,4.8
12912,3,3,3.0
12913,7,1,2.5
12915,4,2,3.0
12916,18,8,10.5
12919,15,1,5.8
12920,4,4,4.0
12921,25,1,11.4
12922,18,18,18.0
12923,8,8,8.0
12924,5,1,2.6666666666666665
12925,15,14,14.5
12928,17,3,10.8
12929,2,2,2.0
12930,8,3,5.5
12931,1,1,1.0
12933,27,5,14.666666666666666
12935,16,1,10.571428571428571
12936,19,1,8.333333333333334
12937,25,6,13.25
12938,5,5,5.0
12940,48,7,27.5
12942,16,2,7.333333333333333
12944,12,9,10.5
12945,12,12,12.0
12947,18,6,9.8
12948,19,4,11.142857142857142
12949,46,2,15.125
12951,14,2,7.333333333333333
12952,21,2,9.75
12953,8,8,8.0
12955,15,5,8.666666666666666
12956,6,6,6.0
12957,41,2,16.625
12962,8,3,5.5
12963,12,2,6.875
12965,44,44,44.0
12966,7,7,7.0
12967,1,1,1.0
12968,2,2,2.0
12970,26,26,26.0
12971,6,1,2.017857142857143
12974,2,2,2.0
12976,6,6,6.0
12981,9,8,8.5
12982,20,20,20.0
12984,3,3,3.0
12985,26,10,18.0
12987,9,4,6.5
12988,16,16,16.0
12989,6,1,2.4
12990,5,2,3.5
12991,10,5,7.5
12993,10,2,5.5
12994,10,8,8.666666666666666
12997,10,6,7.75
12999,15,3,9.0
13000,10,5,7.5
13001,57,2,16.166666666666668
13002,5,5,5.0
13003,3,3,3.0
13004,20,10,14.75
13005,5,2,3.5
13008,11,11,11.0
13011,2,2,2.0
13012,12,1,7.571428571428571
13013,21,2,9.307692307692308
13014,11,2,5.777777777777778
13015,39,6,17.6
13016,15,1,8.333333333333334
13018,20,1,10.923076923076923
13021,11,1,7.222222222222222
13023,7,5,6.0
13026,2,1,1.3333333333333333
13028,14,11,12.5
13029,5,2,3.5
13030,27,14,20.5
13032,26,15,20.5
13033,9,9,9.0
13034,21,9,15.0
13035,8,6,7.0
13037,7,6,6.333333333333333
13038,10,2,5.0
13040,14,14,14.0
13043,4,4,4.0
13044,7,7,7.0
13045,13,13,13.0
13046,9,8,8.5
13047,18,4,9.571428571428571
13048,33,21,26.0
13049,4,4,4.0
13050,57,5,13.058823529411764
13052,5,5,5.0
13055,26,3,13.666666666666666
13059,5,5,5.0
13060,9,9,9.0
13061,4,4,4.0
13062,3,3,3.0
13064,16,4,10.0
13065,6,6,6.0
13066,9,7,8.0
13067,7,7,7.0
13069,32,1,8.869565217391305
13070,7,7,7.0
13072,3,3,3.0
13075,7,7,7.0
13077,20,4,11.5
13078,15,1,5.461538461538462
13079,1,1,1.0
13080,1,1,1.0
13081,77,1,39.0
13082,16,2,5.0
13083,6,6,6.0
13085,7,3,5.0
13089,37,1,10.375
13090,17,1,5.909090909090909
13091,7,7,7.0
